"firstname","lastname","pitcher_throws","pitch_type","release_speed","plate_location_height","plate_location_side","release_height","release_side","extension","horizontal_break","induced_vertical_break","vertical_break","horizontal_approach_angle","vertical_approach_angle","horizontal_release_angle","vertical_release_angle","spin_rate","spin_axis","spin_efficiency","tilt","date","time"
"Jack","Bell","Right","FB",82.76939,2.40253,0.0185,4.84209,2.40097,5.36211,3.77112,8.46482,-32.87519,-2.173682749,-5.771681334,-2.873819757,0.3196096989,1956.625472,203.9267427,NA,12:45:00,2022-08-05,12:55:24.04
"Jack","Bell","Right","SI",85.38368,3.84277,-0.54547,5.23398,1.4697,6.13925,13.0728,15.15788,-23.37617,-0.8647765988,-3.852580497,-3.35598857,0.6015320381,2046.899504,220.6538331,0.8044372259,01:15:00,2023-05-11,18:57:48.83
"Jack","Bell","Right","FB",84.69824,4.39612,-0.72512,5.5794,1.34484,5.42691,-1.73932,9.36628,-30.3573,-2.379847592,-4.233413089,-2.054749407,1.436631145,2037.292131,169.5179397,0.5671944188,11:45:00,2023-05-11,18:57:31.07
"Jack","Bell","Right","FB",85.96462,3.22718,-1.08043,5.55659,1.19527,5.73572,3.48177,15.86237,-22.55616,-2.09666622,-4.733171824,-2.75368991,-0.48245896,2146.811243,192.3434855,0.6284335865,12:30:00,2023-05-11,18:57:13.51
"Jack","Bell","Right","FB",86.27997,2.60212,0.49437,5.50025,1.29375,5.85212,8.79722,15.72796,-22.17383,0.01653165986,-5.314649657,-1.64908059,-1.129924318,2141.645226,209.1732525,0.6942319204,01:00:00,2023-05-11,18:56:43.61
"Jack","Bell","Right","SI",86.57603,2.10445,-0.7876,5.23404,1.45993,6.30212,12.25275,12.99652,-24.43242,-1.197022218,-5.853497816,-3.543735531,-1.184682191,1898.970556,223.2298821,0.8250004516,01:30:00,2023-05-11,18:54:01.34
"Jack","Bell","Right","SI",85.09132,3.27592,-1.01851,5.13614,1.56746,6.10659,11.58691,16.80804,-22.20311,-1.626664201,-4.243963643,-3.835444702,-0.01075367148,1937.066372,214.4695924,0.8506454359,01:15:00,2023-05-11,18:53:35.05
"Jack","Bell","Right","SI",86.05808,2.22716,-1.0374,5.21498,1.34577,6.55386,10.89206,18.08869,-19.18576,-1.497314149,-5.183826318,-3.584845731,-1.51175394,2010.118905,210.9950568,NA,01:00:00,2023-05-11,18:53:16.60
"Jack","Bell","Right","FB",84.68782,4.39676,0.8702,5.65205,1.29031,5.41074,3.47098,14.86349,-25.13309,-0.1050087034,-3.821394925,-0.757211672,0.895645514,2076.151083,193.1157784,0.6510750096,12:30:00,2023-05-11,18:52:53.83
"Jack","Bell","Right","FB",84.38001,4.07575,1.18422,5.33821,1.611,5.66391,6.02032,15.91854,-24.08049,0.1421545832,-3.748351868,-0.9957794556,0.7980973109,2100.97817,200.6739789,0.6252042396,12:45:00,2023-05-11,18:52:38.36
"Jack","Bell","Right","FB",84.25077,4.95286,0.89102,5.53628,1.36409,5.71249,4.30032,17.54245,-22.50352,-0.07914370141,-2.86749257,-0.8925267822,1.386470797,2071.902668,193.7496273,0.6865676123,12:30:00,2023-05-11,18:52:19.38
"Jack","Bell","Right","FB",86.33899,2.66227,-0.46433,5.51115,1.30518,6.17676,6.80307,18.87637,-18.86963,-1.227907833,-4.980616772,-2.52868964,-1.380729155,2023.503501,199.7833128,0.7562817102,12:45:00,2023-05-11,18:52:01.07
"Jack","Bell","Right","FB",82.48878,NA,NA,4.9599,2.38203,5.56998,NA,NA,NA,NA,NA,-4.457658523,-3.043634019,1990.597333,186.8834569,NA,12:15:00,2022-08-05,12:55:06.00
"Jack","Bell","Right","FB",83.94081,0.83307,-0.52274,4.83371,2.68126,NA,4.14717,17.43508,-25.81177,-2.924405074,-6.596862117,-3.67941588,-1.915276317,2126.780341,193.3532937,NA,12:30:00,2022-08-05,12:54:46.64
"Jack","Bell","Right","FB",82.9928,1.98592,-0.82313,4.81553,2.36769,5.37096,1.21281,5.76334,-36.02153,-3.280459352,-6.535318301,-3.507204706,0.1833304062,2037.241164,191.8142096,NA,12:30:00,2022-08-05,12:54:29.45
"Jack","Bell","Right","FB",82.41049,1.63182,-1.3675,4.76847,2.17372,5.33659,2.21502,6.07659,-36.30954,-3.55254244,-6.871708173,-3.96558076,-0.1178982644,1932.557497,199.9209341,NA,12:45:00,2022-08-05,12:53:58.25
"Jack","Bell","Right","FB",82.99065,1.05683,-2.15559,4.92585,2.1706,5.54124,-1.15421,4.91525,-36.52187,-4.732540197,-7.666792623,-4.517282512,-0.8806240721,1915.059239,166.8741499,NA,11:30:00,2022-08-05,12:53:45.63
"Ryan","Berry","Right","FB",81.22378,2.27429,-0.68408,5.41315,1.01196,5.53972,21.50493,17.17452,-26.40878,0.32504773,-5.9651427,-3.7273812,-1.0016686,2063.1387,231.31375,0.94593054,01:45:00,2024-07-06,15:41:00.71
"Ryan","Berry","Right","FB",87.01733,NA,NA,5.06152,1.36113,4.57897,NA,NA,NA,NA,NA,-3.9386868,-4.1296034,2307.772,223.69986,0.9007324,01:30:00,2024-05-23,20:04:58.24
"Ryan","Berry","Right","SI",85.96868,3.6774,0.21213,5.27116,1.19797,4.84693,11.13425,18.51757,-21.05483,0.046120573,-3.7350419,-2.0208502,0.16976933,2183.4004,210.95543,0.86642283,01:00:00,2024-05-23,20:05:50.83
"Ryan","Berry","Right","FB",88.81168,0.08394,-0.15833,4.96308,1.05667,4.84446,19.10746,12.65019,-24.47883,0.57709247,-7.4945083,-2.9629374,-2.9926007,2262.755,236.53708,0.9464055,02:00:00,2024-06-07,16:36:54.81
"Ryan","Berry","Right","FB",86.78161,2.01958,-1.09731,4.88174,0.96346,4.97241,15.49452,15.08182,-23.71674,-0.6636885,-5.3389764,-3.5448258,-0.9360537,2203.606,225.69057,0.8986292,01:30:00,2024-06-07,16:31:12.27
"Ryan","Berry","Right","SI",86.20354,3.13809,1.52073,4.93599,0.87322,4.68793,18.88573,15.40304,-24.40494,2.532412,-4.274907,-0.97561496,0.24839306,2235.9932,230.73283,0.8845884,01:45:00,2024-06-13,17:26:42.59
"Ryan","Berry","Right","FB",87.69334,2.34531,-0.31569,4.75177,0.75315,4.56029,16.11751,17.07406,-22.07908,0.4725545,-4.704171,-2.5330255,-0.5947613,2309.1765,223.28055,0.87237984,01:30:00,2024-06-13,17:30:27.93
